Time(ms),Main(mA),Main Voltage(V),
114.218985080719,277.1596952971765,4.1825,
114.21916604042052,296.91474706928796,4.1845,
114.21939778327942,279.4910368106555,4.18475,
114.21956777572632,280.71805865985493,4.1815,
114.21977305412292,308.2033480819231,4.182,
114.21997094154358,294.0925968161292,4.18375,
114.22017884254456,280.71805865985493,4.179,
114.22039675712584,277.03699311225654,4.1850000000000005,
114.22058606147766,283.6629110979337,4.182,
114.22078800201416,286.1169547963326,4.18225,
114.22099208831789,325.74976052547555,4.1785,
114.22116899490356,390.2911097933677,4.178,
114.22140073776244,373.358208274415,4.184,
114.22156810760498,344.8913013729873,4.18275,
114.22177195549013,342.43725767458835,4.1842500000000005,
114.22198295593262,296.5466405145281,4.181,
114.2221817970276,329.67623044291383,4.18475,
114.22239995002748,311.88441362952153,4.182,
114.22258687019348,276.6688865574967,4.1835,
114.22278881072998,264.03056151074213,4.1855,
114.22296786308289,264.398668065502,4.18075,
114.22317481040956,266.2392008393012,4.18125,
114.22340989112854,263.53975277106235,4.18675,
114.2236030101776,267.58892487342064,4.1842500000000005,
114.22379183769226,299.123386397847,4.18075,
114.22397899627686,287.3439766455321,4.18325,
114.22418594360352,289.06180723441133,4.18525,
114.2244107723236,286.23965698125255,4.1825,
114.2246160507202,278.87752588605576,4.1815,
114.22479295730592,278.1413127765361,4.18325,
114.22496795654295,277.7732062217762,4.18225,
114.22546482086182,288.4482963098116,4.1845,
114.22564792633057,282.1904848788943,4.18025,
114.22564792633057,303.1725585002053,4.1825,
114.22579789161682,336.05674405875106,4.1805,
114.2259840965271,309.4303699311226,4.1842500000000005,
114.22617888450624,346.97723851662636,4.17925,
114.2263970375061,323.9092277516763,4.1835,
114.22658681869508,333.3572959905123,4.18275,
114.2267849445343,304.15417597956485,4.18375,
114.22699093818665,269.55215983213975,4.1815,
114.22717189788818,297.40555580896773,4.186,
114.22737789154051,287.22127446061216,4.18625,
114.22757983207704,264.8894768051818,4.181,
114.22778701782228,271.02458605117914,4.1842500000000005,
114.2279839515686,266.97541394882086,4.1855,
114.22818207740784,263.53975277106235,4.18275,
114.22841191291808,265.87109428454136,4.1855,
114.22858881950378,263.9078593258222,4.188,
114.22879910469057,264.1532636956621,4.1865,
114.2289969921112,264.6440724353419,4.184,
114.2291967868805,272.2516079003786,4.18725,
114.22940278053284,265.01217899010175,4.1845,
114.2295868396759,258.2635588195046,4.183,
114.22979211807252,275.44186470829726,4.1835,
114.22995471954346,290.04342471377095,4.182,
114.23018097877502,293.47908589152945,4.18125,
114.23040175437929,286.60776353601244,4.1850000000000005,
114.23058700561523,290.04342471377095,4.18325,
114.23079085350037,296.91474706928796,4.18225,
114.23098492622375,285.258039501893,4.1842500000000005,
114.23116970062256,278.87752588605576,4.1850000000000005,
114.23139476776124,280.22724992017515,4.182,
114.23157691955566,278.7548237011358,4.1835,
114.23178887367249,290.5342334534507,4.184,
114.23198795318604,280.1045477352552,4.1815,
114.23217391967772,288.57099849473155,4.1857500000000005,
114.23241305351256,281.20886739953477,4.182,
114.23259592056274,281.3315695844547,4.182,
114.23279690742493,298.14176891848746,4.18225,
114.23297476768494,305.6266021986042,4.1825,
114.23317289352416,299.9823016922866,4.1815,
114.23340797424316,330.53514573735345,4.181,
114.2335958480835,306.73092186288375,4.182,
114.2337999343872,320.3508643889979,4.182,
114.23399496078493,319.6146512794782,4.181,
114.23419404029846,314.0930529580806,4.184,
114.23441886901855,304.8903890890845,4.18525,
114.23459792137146,268.0797336131004,4.18225,
114.23480606079102,295.9331295899284,4.1865,
114.23497605323792,291.8839574875701,4.18275,
114.2351939678192,264.76677462026186,4.184,
114.23538208007812,266.11649865438125,4.18475,
114.2355978488922,280.71805865985493,4.18275,
114.23580694198608,303.04985631528535,4.184,
114.23599600791933,269.79756420197964,4.184,
114.23618388175964,265.1348811750217,4.1835,
114.23640489578248,275.68726907813715,4.1825,
114.23658871650696,264.1532636956621,4.1825,
114.23679685592651,267.34352050358075,4.18525,
114.2369921207428,263.6624549559823,4.18275,
114.23718309402466,256.91383478538523,4.1845,
114.23739504814148,259.735985038544,4.1850000000000005,
114.23758912086488,261.9446243671031,4.181,
114.23779201507568,268.5705423527802,4.188,
114.238116979599,255.93221730602565,4.18775,
114.2383029460907,269.1840532773799,4.1825,
114.23842597007751,301.7001322811659,4.1850000000000005,
114.23860192298888,306.117410938284,4.1835,
114.23878979682922,305.3811978287643,4.1835,
114.23899602890016,304.8903890890845,4.18375,
114.23920893669128,300.47311043196646,4.1845,
114.23943614959715,285.258039501893,4.18375,
114.2395977973938,289.920722528851,4.1815,
114.23980402946472,304.39958034940474,4.18375,
114.240003824234,303.54066505496513,4.18125,
114.2401978969574,297.2828536240478,4.1815,
114.24038672447205,315.68818136203987,4.18225,
114.24059391021729,276.79158874241665,4.17925,
114.2407910823822,283.6629110979337,4.1845,
114.2409930229187,269.1840532773799,4.186,
114.24119400978088,260.2267937782238,4.1825,
114.24141383171082,260.8403047028235,4.18525,
114.24159097671507,270.53377731149936,4.1857500000000005,
114.24179887771606,267.09811613374086,4.18275,
114.24200701713562,259.61328285362407,4.1835,
114.2421989440918,259.735985038544,4.1855,
114.2423858642578,258.63166537426446,4.18475,
114.24258303642272,260.5949003329836,4.1855,
114.2427899837494,277.4050996670164,4.181,
114.24298691749571,299.49149295260685,4.184,
114.2432577610016,293.1109793367696,4.18475,
114.24341297149658,278.386717146376,4.1815,
114.24359607696532,305.9947087533641,4.18525,
114.24379897117616,300.71851480180635,4.18275,
114.24400281906128,324.27733430643616,4.18175,
114.24420094490053,321.4551840532774,4.18,
114.2443859577179,335.44323313415134,4.18025,
114.24458193778992,312.0071158144415,4.18375,
114.24479007720949,300.8412169867263,4.18025,
114.24500799179076,323.7865255667564,4.181,
114.24521589279176,311.5163070747617,4.184,
114.24541091918944,297.40555580896773,4.18175,
114.2456078529358,306.48551749304386,4.184,
114.24580001831056,319.6146512794782,4.1825,
114.24600887298584,286.4850613510925,4.184,
114.2461838722229,265.7483920996214,4.18325,
114.24639177322388,263.29434840122246,4.18225,
114.2465889453888,277.1596952971765,4.182,
114.24678993225098,306.6082196779638,4.181,
114.2469997406006,309.30766774620264,4.183,
114.247211933136,319.4919490945582,4.18475,
114.24741983413696,287.71208320029194,4.1850000000000005,
114.24760699272156,282.0677826939744,4.1850000000000005,
114.24780702590942,260.34949596314374,4.1825,
114.2480149269104,258.7543675591844,4.1845,
114.2481849193573,255.68681293618576,4.18875,
114.24839997291564,254.3370889020663,4.18325,
114.248596906662,253.2327692377868,4.1857500000000005,
114.24879598617554,252.25115175842723,4.1850000000000005,
114.24900102615356,254.9505998266661,4.181,
114.24921083450316,251.02412990922772,4.188,
114.24942088127136,253.60087579254665,4.1850000000000005,
114.2495927810669,269.06135109246,4.1842500000000005,
114.24983286857604,255.68681293618576,4.1857500000000005,
114.25001287460329,251.8830452036674,4.1845,
114.25018882751463,254.4597910869863,4.1825,
114.25042486190796,254.58249327190623,4.1855,
114.2506139278412,252.49655612826712,4.1850000000000005,
114.25113987922668,253.7235779774666,4.18325,
114.25131177902222,257.52734570998496,4.1875,
114.25131177902222,257.1592391552251,4.1815,
114.2514419555664,270.9018838662592,4.1825,
114.25160789489746,286.1169547963326,4.18275,
114.25179505348206,296.66934269944807,4.186,
114.25200200080872,256.91383478538523,4.181,
114.25219798088074,251.6376408338275,4.18375,
114.25242495536804,255.68681293618576,4.1842500000000005,
114.25260186195374,252.74196049810703,4.1850000000000005,
114.2528121471405,250.410618984628,4.18525,
114.25301504135132,262.3127309218629,4.18375,
114.25322890281676,263.1716462163025,4.1845,
114.25338983535768,253.60087579254665,4.18375,
114.2535970211029,267.58892487342064,4.1865,
114.25379991531372,255.19600419650595,4.1825,
114.25400590896606,255.68681293618576,4.1845,
114.2541959285736,270.9018838662592,4.18825,
114.25442385673524,233.60041965059528,4.1850000000000005,
114.25460410118104,232.7415043561556,4.186,
114.25481081008913,238.1404004926333,4.18825,
114.2550311088562,269.06135109246,4.1850000000000005,
114.25519585609436,308.9395611914428,4.179,
114.25537586212158,326.85408018975505,4.17975,
114.25559186935423,321.08707749851754,4.18375,
114.2558138370514,293.6017880764494,4.18225,
114.25602006912231,264.52137025042197,4.18225,
114.25620198249815,258.1408566345847,4.1835,
114.25642490386964,257.1592391552251,4.1842500000000005,
114.25661396980286,254.9505998266661,4.18325,
